Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloguer_mitja,Preu
2023,1,1,Ciutat Vella,1,el Raval,Lloguer mitjà mensual (Euros/mes),946.8
2023,1,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà mensual (Euros/mes),1279.5
2023,1,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà mensual (Euros/mes),978.7
2023,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà mensual (Euros/mes),1065.8
2023,1,2,Eixample,5,el Fort Pienc,Lloguer mitjà mensual (Euros/mes),1155.8
2023,1,2,Eixample,6,la Sagrada Família,Lloguer mitjà mensual (Euros/mes),1067.9
2023,1,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà mensual (Euros/mes),1519.8
2023,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),1281.5
2023,1,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),1131.2
2023,1,2,Eixample,10,Sant Antoni,Lloguer mitjà mensual (Euros/mes),1061.0
2023,1,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà mensual (Euros/mes),887.1
2023,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà mensual (Euros/mes),1388.0
2023,1,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà mensual (Euros/mes),850.2
2023,1,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà mensual (Euros/mes),994.9
2023,1,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà mensual (Euros/mes),945.6
2023,1,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà mensual (Euros/mes),1393.9
2023,1,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà mensual (Euros/mes),926.1
2023,1,3,Sants-Montjuïc,18,Sants,Lloguer mitjà mensual (Euros/mes),959.1
2023,1,4,Les Corts,19,les Corts,Lloguer mitjà mensual (Euros/mes),1102.3
2023,1,4,Les Corts,20,la Maternitat i Sant Ramon,Lloguer mitjà mensual (Euros/mes),1105.8
2023,1,4,Les Corts,21,Pedralbes,Lloguer mitjà mensual (Euros/mes),1901.0
2023,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Lloguer mitjà mensual (Euros/mes),991.1
2023,1,5,Sarrià-Sant Gervasi,23,Sarrià,Lloguer mitjà mensual (Euros/mes),1359.0
2023,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,Lloguer mitjà mensual (Euros/mes),1750.2
2023,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Lloguer mitjà mensual (Euros/mes),1511.1
2023,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Lloguer mitjà mensual (Euros/mes),1565.0
2023,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Lloguer mitjà mensual (Euros/mes),1194.3
2023,1,6,Gràcia,28,Vallcarca i els Penitents,Lloguer mitjà mensual (Euros/mes),1128.5
2023,1,6,Gràcia,29,el Coll,Lloguer mitjà mensual (Euros/mes),899.5
2023,1,6,Gràcia,30,la Salut,Lloguer mitjà mensual (Euros/mes),1011.4
2023,1,6,Gràcia,31,la Vila de Gràcia,Lloguer mitjà mensual (Euros/mes),1106.9
2023,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Lloguer mitjà mensual (Euros/mes),1105.1
2023,1,7,Horta-Guinardó,33,el Baix Guinardó,Lloguer mitjà mensual (Euros/mes),1015.3
2023,1,7,Horta-Guinardó,34,Can Baró,Lloguer mitjà mensual (Euros/mes),907.0
2023,1,7,Horta-Guinardó,35,el Guinardó,Lloguer mitjà mensual (Euros/mes),913.7
2023,1,7,Horta-Guinardó,36,la Font d'en Fargues,Lloguer mitjà mensual (Euros/mes),962.1
2023,1,7,Horta-Guinardó,37,el Carmel,Lloguer mitjà mensual (Euros/mes),759.7
2023,1,7,Horta-Guinardó,38,la Teixonera,Lloguer mitjà mensual (Euros/mes),810.7
2023,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,Lloguer mitjà mensual (Euros/mes),831.0
2023,1,7,Horta-Guinardó,40,Montbau,Lloguer mitjà mensual (Euros/mes),856.8
2023,1,7,Horta-Guinardó,41,la Vall d'Hebron,Lloguer mitjà mensual (Euros/mes),927.0
2023,1,7,Horta-Guinardó,42,la Clota,Lloguer mitjà mensual (Euros/mes),--
2023,1,7,Horta-Guinardó,43,Horta,Lloguer mitjà mensual (Euros/mes),854.8
2023,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Lloguer mitjà mensual (Euros/mes),872.8
2023,1,8,Nou Barris,45,Porta,Lloguer mitjà mensual (Euros/mes),811.5
2023,1,8,Nou Barris,46,el Turó de la Peira,Lloguer mitjà mensual (Euros/mes),712.1
2023,1,8,Nou Barris,47,Can Peguera,Lloguer mitjà mensual (Euros/mes),--
2023,1,8,Nou Barris,48,la Guineueta,Lloguer mitjà mensual (Euros/mes),880.0
2023,1,8,Nou Barris,49,Canyelles,Lloguer mitjà mensual (Euros/mes),822.8
2023,1,8,Nou Barris,50,les Roquetes,Lloguer mitjà mensual (Euros/mes),693.5
2023,1,8,Nou Barris,51,Verdun,Lloguer mitjà mensual (Euros/mes),683.9
2023,1,8,Nou Barris,52,la Prosperitat,Lloguer mitjà mensual (Euros/mes),768.0
2023,1,8,Nou Barris,53,la Trinitat Nova,Lloguer mitjà mensual (Euros/mes),625.9
2023,1,8,Nou Barris,54,Torre Baró,Lloguer mitjà mensual (Euros/mes),491.9
2023,1,8,Nou Barris,55,Ciutat Meridiana,Lloguer mitjà mensual (Euros/mes),607.8
2023,1,8,Nou Barris,56,Vallbona,Lloguer mitjà mensual (Euros/mes),--
2023,1,9,Sant Andreu,57,la Trinitat Vella,Lloguer mitjà mensual (Euros/mes),692.6
2023,1,9,Sant Andreu,58,Baró de Viver,Lloguer mitjà mensual (Euros/mes),--
2023,1,9,Sant Andreu,59,el Bon Pastor,Lloguer mitjà mensual (Euros/mes),691.4
2023,1,9,Sant Andreu,60,Sant Andreu,Lloguer mitjà mensual (Euros/mes),868.8
2023,1,9,Sant Andreu,61,la Sagrera,Lloguer mitjà mensual (Euros/mes),961.4
2023,1,9,Sant Andreu,62,el Congrés i els Indians,Lloguer mitjà mensual (Euros/mes),864.4
2023,1,9,Sant Andreu,63,Navas,Lloguer mitjà mensual (Euros/mes),920.1
2023,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,Lloguer mitjà mensual (Euros/mes),957.1
2023,1,10,Sant Martí,65,el Clot,Lloguer mitjà mensual (Euros/mes),990.5
2023,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Lloguer mitjà mensual (Euros/mes),1210.6
2023,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,Lloguer mitjà mensual (Euros/mes),1472.4
2023,1,10,Sant Martí,68,el Poblenou,Lloguer mitjà mensual (Euros/mes),1111.3
2023,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Lloguer mitjà mensual (Euros/mes),1488.1
2023,1,10,Sant Martí,70,el Besòs i el Maresme,Lloguer mitjà mensual (Euros/mes),807.6
2023,1,10,Sant Martí,71,Provençals del Poblenou,Lloguer mitjà mensual (Euros/mes),1170.5
2023,1,10,Sant Martí,72,Sant Martí de Provençals,Lloguer mitjà mensual (Euros/mes),925.3
2023,1,10,Sant Martí,73,la Verneda i la Pau,Lloguer mitjà mensual (Euros/mes),1148.4
2023,1,1,Ciutat Vella,1,el Raval,Lloguer mitjà per superfície (Euros/m2 mes),15.8
2023,1,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà per superfície (Euros/m2 mes),16.6
2023,1,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà per superfície (Euros/m2 mes),18.0
2023,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà per superfície (Euros/m2 mes),16.6
2023,1,2,Eixample,5,el Fort Pienc,Lloguer mitjà per superfície (Euros/m2 mes),15.9
2023,1,2,Eixample,6,la Sagrada Família,Lloguer mitjà per superfície (Euros/m2 mes),16.1
2023,1,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà per superfície (Euros/m2 mes),16.5
2023,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà per superfície (Euros/m2 mes),15.6
2023,1,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà per superfície (Euros/m2 mes),16.0
2023,1,2,Eixample,10,Sant Antoni,Lloguer mitjà per superfície (Euros/m2 mes),15.1
2023,1,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà per superfície (Euros/m2 mes),15.4
2023,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà per superfície (Euros/m2 mes),--
2023,1,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà per superfície (Euros/m2 mes),12.3
2023,1,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà per superfície (Euros/m2 mes),14.6
2023,1,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà per superfície (Euros/m2 mes),15.7
2023,1,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà per superfície (Euros/m2 mes),22.9
2023,1,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà per superfície (Euros/m2 mes),15.5
2023,1,3,Sants-Montjuïc,18,Sants,Lloguer mitjà per superfície (Euros/m2 mes),15.2
2023,1,4,Les Corts,19,les Corts,Lloguer mitjà per superfície (Euros/m2 mes),16.3
2023,1,4,Les Corts,20,la Maternitat i Sant Ramon,Lloguer mitjà per superfície (Euros/m2 mes),14.8
2023,1,4,Les Corts,21,Pedralbes,Lloguer mitjà per superfície (Euros/m2 mes),16.8
2023,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Lloguer mitjà per superfície (Euros/m2 mes),13.6
2023,1,5,Sarrià-Sant Gervasi,23,Sarrià,Lloguer mitjà per superfície (Euros/m2 mes),18.0
2023,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,Lloguer mitjà per superfície (Euros/m2 mes),18.7
2023,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Lloguer mitjà per superfície (Euros/m2 mes),17.5
2023,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Lloguer mitjà per superfície (Euros/m2 mes),18.1
2023,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Lloguer mitjà per superfície (Euros/m2 mes),16.9
2023,1,6,Gràcia,28,Vallcarca i els Penitents,Lloguer mitjà per superfície (Euros/m2 mes),15.9
2023,1,6,Gràcia,29,el Coll,Lloguer mitjà per superfície (Euros/m2 mes),13.4
2023,1,6,Gràcia,30,la Salut,Lloguer mitjà per superfície (Euros/m2 mes),14.0
2023,1,6,Gràcia,31,la Vila de Gràcia,Lloguer mitjà per superfície (Euros/m2 mes),17.0
2023,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Lloguer mitjà per superfície (Euros/m2 mes),16.1
2023,1,7,Horta-Guinardó,33,el Baix Guinardó,Lloguer mitjà per superfície (Euros/m2 mes),15.3
2023,1,7,Horta-Guinardó,34,Can Baró,Lloguer mitjà per superfície (Euros/m2 mes),14.4
2023,1,7,Horta-Guinardó,35,el Guinardó,Lloguer mitjà per superfície (Euros/m2 mes),14.3
2023,1,7,Horta-Guinardó,36,la Font d'en Fargues,Lloguer mitjà per superfície (Euros/m2 mes),15.3
2023,1,7,Horta-Guinardó,37,el Carmel,Lloguer mitjà per superfície (Euros/m2 mes),13.1
2023,1,7,Horta-Guinardó,38,la Teixonera,Lloguer mitjà per superfície (Euros/m2 mes),14.7
2023,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,Lloguer mitjà per superfície (Euros/m2 mes),11.9
2023,1,7,Horta-Guinardó,40,Montbau,Lloguer mitjà per superfície (Euros/m2 mes),12.9
2023,1,7,Horta-Guinardó,41,la Vall d'Hebron,Lloguer mitjà per superfície (Euros/m2 mes),14.5
2023,1,7,Horta-Guinardó,42,la Clota,Lloguer mitjà per superfície (Euros/m2 mes),--
2023,1,7,Horta-Guinardó,43,Horta,Lloguer mitjà per superfície (Euros/m2 mes),13.4
2023,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Lloguer mitjà per superfície (Euros/m2 mes),13.1
2023,1,8,Nou Barris,45,Porta,Lloguer mitjà per superfície (Euros/m2 mes),13.2
2023,1,8,Nou Barris,46,el Turó de la Peira,Lloguer mitjà per superfície (Euros/m2 mes),11.4
2023,1,8,Nou Barris,47,Can Peguera,Lloguer mitjà per superfície (Euros/m2 mes),--
2023,1,8,Nou Barris,48,la Guineueta,Lloguer mitjà per superfície (Euros/m2 mes),12.1
2023,1,8,Nou Barris,49,Canyelles,Lloguer mitjà per superfície (Euros/m2 mes),10.9
2023,1,8,Nou Barris,50,les Roquetes,Lloguer mitjà per superfície (Euros/m2 mes),12.2
2023,1,8,Nou Barris,51,Verdun,Lloguer mitjà per superfície (Euros/m2 mes),13.6
2023,1,8,Nou Barris,52,la Prosperitat,Lloguer mitjà per superfície (Euros/m2 mes),13.5
2023,1,8,Nou Barris,53,la Trinitat Nova,Lloguer mitjà per superfície (Euros/m2 mes),13.7
2023,1,8,Nou Barris,54,Torre Baró,Lloguer mitjà per superfície (Euros/m2 mes),6.2
2023,1,8,Nou Barris,55,Ciutat Meridiana,Lloguer mitjà per superfície (Euros/m2 mes),10.3
2023,1,8,Nou Barris,56,Vallbona,Lloguer mitjà per superfície (Euros/m2 mes),--
2023,1,9,Sant Andreu,57,la Trinitat Vella,Lloguer mitjà per superfície (Euros/m2 mes),12.4
2023,1,9,Sant Andreu,58,Baró de Viver,Lloguer mitjà per superfície (Euros/m2 mes),--
2023,1,9,Sant Andreu,59,el Bon Pastor,Lloguer mitjà per superfície (Euros/m2 mes),10.3
2023,1,9,Sant Andreu,60,Sant Andreu,Lloguer mitjà per superfície (Euros/m2 mes),13.3
2023,1,9,Sant Andreu,61,la Sagrera,Lloguer mitjà per superfície (Euros/m2 mes),13.8
2023,1,9,Sant Andreu,62,el Congrés i els Indians,Lloguer mitjà per superfície (Euros/m2 mes),12.9
2023,1,9,Sant Andreu,63,Navas,Lloguer mitjà per superfície (Euros/m2 mes),13.5
2023,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,Lloguer mitjà per superfície (Euros/m2 mes),15.3
2023,1,10,Sant Martí,65,el Clot,Lloguer mitjà per superfície (Euros/m2 mes),14.6
2023,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Lloguer mitjà per superfície (Euros/m2 mes),17.3
2023,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,Lloguer mitjà per superfície (Euros/m2 mes),17.8
2023,1,10,Sant Martí,68,el Poblenou,Lloguer mitjà per superfície (Euros/m2 mes),17.6
2023,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Lloguer mitjà per superfície (Euros/m2 mes),19.5
2023,1,10,Sant Martí,70,el Besòs i el Maresme,Lloguer mitjà per superfície (Euros/m2 mes),12.3
2023,1,10,Sant Martí,71,Provençals del Poblenou,Lloguer mitjà per superfície (Euros/m2 mes),16.0
2023,1,10,Sant Martí,72,Sant Martí de Provençals,Lloguer mitjà per superfície (Euros/m2 mes),13.2
2023,1,10,Sant Martí,73,la Verneda i la Pau,Lloguer mitjà per superfície (Euros/m2 mes),18.3
