country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1952,28.801,8425333,779.4453145
Afghanistan,Asia,1957,30.332,9240934,820.8530296
Afghanistan,Asia,1962,31.997,10267083,853.10071
Afghanistan,Asia,1967,34.02,11537966,836.1971382
Afghanistan,Asia,1972,36.088,13079460,739.9811058
Afghanistan,Asia,1977,38.438,14880372,786.11336
Afghanistan,Asia,1982,39.854,12881816,978.0114388
Afghanistan,Asia,1987,40.822,13867957,852.3959448
Afghanistan,Asia,1992,41.674,16317921,649.3413952
Afghanistan,Asia,1997,41.763,22227415,635.341351
Afghanistan,Asia,2002,42.129,25268405,726.7340548
Afghanistan,Asia,2007,43.828,31889923,974.5803384
Albania,Europe,1952,55.23,1282697,1601.056136
Albania,Europe,1957,59.28,1476505,1942.284244
Albania,Europe,1962,64.82,1728137,2312.888958
Albania,Europe,1967,66.22,1984060,2760.196931
Albania,Europe,1972,67.69,2263554,3313.422188
Albania,Europe,1977,68.93,2509048,3533.00391
Albania,Europe,1982,70.42,2780097,3630.880722
Albania,Europe,1987,72,3075321,3738.932735
Albania,Europe,1992,71.581,3326498,2497.437901
Albania,Europe,1997,72.95,3428038,3193.054604
Albania,Europe,2002,75.651,3508512,4604.211737
Albania,Europe,2007,76.423,3600523,5937.029526
Algeria,Africa,1952,43.077,9279525,2449.008185
Algeria,Africa,1957,45.685,10270856,3013.976023
Algeria,Africa,1962,48.303,11000948,2550.81688
Algeria,Africa,1967,51.407,12760499,3246.991771
Algeria,Africa,1972,54.518,14760787,4182.663766
Algeria,Africa,1977,58.014,17152804,4910.416756
Algeria,Africa,1982,61.368,20033753,5745.160213
Algeria,Africa,1987,65.799,23254956,5681.358539
Algeria,Africa,1992,67.744,26298373,5023.216647
Algeria,Africa,1997,69.152,29072015,4797.295051
Algeria,Africa,2002,70.994,31287142,5288.040382
Algeria,Africa,2007,72.301,33333216,6223.367465
Angola,Africa,1952,30.015,4232095,3520.610273
Angola,Africa,1957,31.999,4561361,3827.940465
Angola,Africa,1962,34,4826015,4269.276742
Angola,Africa,1967,35.985,5247469,5522.776375
Angola,Africa,1972,37.928,5894858,5473.288005
Angola,Africa,1977,39.483,6162675,3008.647355
Angola,Africa,1982,39.942,7016384,2756.953672
Angola,Africa,1987,39.906,7874230,2430.208311
Angola,Africa,1992,40.647,8735988,2627.845685
Angola,Africa,1997,40.963,9875024,2277.140884
Angola,Africa,2002,41.003,10866106,2773.287312
Angola,Africa,2007,42.731,12420476,4797.231267
Argentina,Americas,1952,62.485,17876956,5911.315053
Argentina,Americas,1957,64.399,19610538,6856.856212
Argentina,Americas,1962,65.142,21283783,7133.166023
Argentina,Americas,1967,65.634,22934225,8052.953021
Argentina,Americas,1972,67.065,24779799,9443.038526
Argentina,Americas,1977,68.481,26983828,10079.02674
Argentina,Americas,1982,69.942,29341374,8997.897412
Argentina,Americas,1987,70.774,31620918,9139.671389
Argentina,Americas,1992,71.868,33958947,9308.41871
Argentina,Americas,1997,73.275,36203463,10967.28195
Argentina,Americas,2002,74.34,38331121,8797.640716
Argentina,Americas,2007,75.32,40301927,12779.37964
Australia,Oceania,1952,69.12,8691212,10039.59564
Australia,Oceania,1957,70.33,9712569,10949.64959
Australia,Oceania,1962,70.93,10794968,12217.22686
Australia,Oceania,1967,71.1,11872264,14526.12465
Australia,Oceania,1972,71.93,13177000,16788.62948
Australia,Oceania,1977,73.49,14074100,18334.19751
Australia,Oceania,1982,74.74,15184200,19477.00928
Australia,Oceania,1987,76.32,16257249,21888.88903
Australia,Oceania,1992,77.56,17481977,23424.76683
Australia,Oceania,1997,78.83,18565243,26997.93657
Australia,Oceania,2002,80.37,19546792,30687.75473
Australia,Oceania,2007,81.235,20434176,34435.36744
Austria,Europe,1952,66.8,6927772,6137.076492
Austria,Europe,1957,67.48,6965860,8842.59803
Austria,Europe,1962,69.54,7129864,10750.72111
Austria,Europe,1967,70.14,7376998,12834.6024
Austria,Europe,1972,70.63,7544201,16661.6256
Austria,Europe,1977,72.17,7568430,19749.4223
Austria,Europe,1982,73.18,7574613,21597.08362
Austria,Europe,1987,74.94,7578903,23687.82607
Austria,Europe,1992,76.04,7914969,27042.01868
Austria,Europe,1997,77.51,8069876,29095.92066
Austria,Europe,2002,78.98,8148312,32417.60769
Austria,Europe,2007,79.829,8199783,36126.4927
Bahrain,Asia,1952,50.939,120447,9867.084765
Bahrain,Asia,1957,53.832,138655,11635.79945
Bahrain,Asia,1962,56.923,171863,12753.27514
Bahrain,Asia,1967,59.923,202182,14804.6727
Bahrain,Asia,1972,63.3,230800,18268.65839
Bahrain,Asia,1977,65.593,297410,19340.10196
Bahrain,Asia,1982,69.052,377967,19211.14731
Bahrain,Asia,1987,70.75,454612,18524.02406
Bahrain,Asia,1992,72.601,529491,19035.57917
Bahrain,Asia,1997,73.925,598561,20292.01679
Bahrain,Asia,2002,74.795,656397,23403.55927
Bahrain,Asia,2007,75.635,708573,29796.04834
Bangladesh,Asia,1952,37.484,46886859,684.2441716
Bangladesh,Asia,1957,39.348,51365468,661.6374577
Bangladesh,Asia,1962,41.216,56839289,686.3415538
Bangladesh,Asia,1967,43.453,62821884,721.1860862
Bangladesh,Asia,1972,45.252,70759295,630.2336265
Bangladesh,Asia,1977,46.923,80428306,659.8772322
Bangladesh,Asia,1982,50.009,93074406,676.9818656
Bangladesh,Asia,1987,52.819,103764241,751.9794035
Bangladesh,Asia,1992,56.018,113704579,837.8101643
Bangladesh,Asia,1997,59.412,123315288,972.7700352
Bangladesh,Asia,2002,62.013,135656790,1136.39043
Bangladesh,Asia,2007,64.062,150448339,1391.253792
Belgium,Europe,1952,68,8730405,8343.105127
Belgium,Europe,1957,69.24,8989111,9714.960623
Belgium,Europe,1962,70.25,9218400,10991.20676
Belgium,Europe,1967,70.94,9556500,13149.04119
Belgium,Europe,1972,71.44,9709100,16672.14356
Belgium,Europe,1977,72.8,9821800,19117.97448
Belgium,Europe,1982,73.93,9856303,20979.84589
Belgium,Europe,1987,75.35,9870200,22525.56308
Belgium,Europe,1992,76.46,10045622,25575.57069
Belgium,Europe,1997,77.53,10199787,27561.19663
Belgium,Europe,2002,78.32,10311970,30485.88375
Belgium,Europe,2007,79.441,10392226,33692.60508
Benin,Africa,1952,38.223,1738315,1062.7522
Benin,Africa,1957,40.358,1925173,959.6010805
Benin,Africa,1962,42.618,2151895,949.4990641
Benin,Africa,1967,44.885,2427334,1035.831411
Benin,Africa,1972,47.014,2761407,1085.796879
Benin,Africa,1977,49.19,3168267,1029.161251
Benin,Africa,1982,50.904,3641603,1277.897616
Benin,Africa,1987,52.337,4243788,1225.85601
Benin,Africa,1992,53.919,4981671,1191.207681
Benin,Africa,1997,54.777,6066080,1232.975292
Benin,Africa,2002,54.406,7026113,1372.877931
Benin,Africa,2007,56.728,8078314,1441.284873
Bolivia,Americas,1952,40.414,2883315,2677.326347
Bolivia,Americas,1957,41.89,3211738,2127.686326
Bolivia,Americas,1962,43.428,3593918,2180.972546
Bolivia,Americas,1967,45.032,4040665,2586.886053
Bolivia,Americas,1972,46.714,4565872,2980.331339
Bolivia,Americas,1977,50.023,5079716,3548.097832
Bolivia,Americas,1982,53.859,5642224,3156.510452
Bolivia,Americas,1987,57.251,6156369,2753.69149
Bolivia,Americas,1992,59.957,6893451,2961.699694
Bolivia,Americas,1997,62.05,7693188,3326.143191
Bolivia,Americas,2002,63.883,8445134,3413.26269
Bolivia,Americas,2007,65.554,9119152,3822.137084
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.989176
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.683679
Bosnia and Herzegovina,Europe,1967,64.79,3585000,2172.352423
Bosnia and Herzegovina,Europe,1972,67.45,3819000,2860.16975
Bosnia and Herzegovina,Europe,1977,69.86,4086000,3528.481305
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.613157
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.114757
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803
Botswana,Africa,1952,47.622,442308,851.2411407
Botswana,Africa,1957,49.618,474639,918.2325349
Botswana,Africa,1962,51.52,512764,983.6539764
Botswana,Africa,1967,53.298,553541,1214.709294
Botswana,Africa,1972,56.024,619351,2263.611114
Botswana,Africa,1977,59.319,781472,3214.857818
Botswana,Africa,1982,61.484,970347,4551.14215
Botswana,Africa,1987,63.622,1151184,6205.88385
Botswana,Africa,1992,62.745,1342614,7954.111645
Botswana,Africa,1997,52.556,1536536,8647.142313
Botswana,Africa,2002,46.634,1630347,11003.60508
Botswana,Africa,2007,50.728,1639131,12569.85177
Brazil,Americas,1952,50.917,56602560,2108.944355
Brazil,Americas,1957,53.285,65551171,2487.365989
Brazil,Americas,1962,55.665,76039390,3336.585802
Brazil,Americas,1967,57.632,88049823,3429.864357
Brazil,Americas,1972,59.504,100840058,4985.711467
Brazil,Americas,1977,61.489,114313951,6660.118654
Brazil,Americas,1982,63.336,128962939,7030.835878
Brazil,Americas,1987,65.205,142938076,7807.095818
Brazil,Americas,1992,67.057,155975974,6950.283021
Brazil,Americas,1997,69.388,168546719,7957.980824
Brazil,Americas,2002,71.006,179914212,8131.212843
Brazil,Americas,2007,72.39,190010647,9065.800825
Bulgaria,Europe,1952,59.6,7274900,2444.286648
Bulgaria,Europe,1957,66.61,7651254,3008.670727
Bulgaria,Europe,1962,69.51,8012946,4254.337839
Bulgaria,Europe,1967,70.42,8310226,5577.0028
Bulgaria,Europe,1972,70.9,8576200,6597.494398
Bulgaria,Europe,1977,70.81,8797022,7612.240438
Bulgaria,Europe,1982,71.08,8892098,8224.191647
Bulgaria,Europe,1987,71.34,8971958,8239.854824
Bulgaria,Europe,1992,71.19,8658506,6302.623438
Bulgaria,Europe,1997,70.32,8066057,5970.38876
Bulgaria,Europe,2002,72.14,7661799,7696.777725
Bulgaria,Europe,2007,73.005,7322858,10680.79282
Burkina Faso,Africa,1952,31.975,4469979,543.2552413
Burkina Faso,Africa,1957,34.906,4713416,617.1834648
Burkina Faso,Africa,1962,37.814,4919632,722.5120206
Burkina Faso,Africa,1967,40.697,5127935,794.8265597
Burkina Faso,Africa,1972,43.591,5433886,854.7359763
Burkina Faso,Africa,1977,46.137,5889574,743.3870368
Burkina Faso,Africa,1982,48.122,6634596,807.1985855
Burkina Faso,Africa,1987,49.557,7586551,912.0631417
