grup,estudiant,total_ac,moodle,dplyr,ggplot,entregues
1,XXXX XXXX,6.84,8.17,1,0.4,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,4.95,8.4,0.6,0,Alguna
1,XXXX XXXX,7.48,8.7,1,0.5,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,6.79,7.33,1,0.5,Totes
1,XXXX XXXX,8.83,8.4,1,0.9,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,3.4,6.8,0,0,Alguna
1,XXXX XXXX,3.24,5.73,0.3,0,Alguna
1,XXXX XXXX,7.1,8.32,1,0.45,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,3.1,6.19,0,0,Alguna
1,XXXX XXXX,9.67,9.33,1,1,Totes
1,XXXX XXXX,9.73,9.47,1,1,Totes
1,XXXX XXXX,10,10,1,1,Totes
1,XXXX XXXX,2.41,4.82,0,0,Alguna
1,XXXX XXXX,9.36,9.47,1,0.9,Totes
1,XXXX XXXX,4.21,8.43,0,0,Alguna
1,XXXX XXXX,7.22,7.18,0.8,0.7,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,5.35,8.7,0.8,0,Alguna
1,XXXX XXXX,3.36,6.72,0,0,Alguna
1,XXXX XXXX,4.38,6.27,1,0,Alguna
1,XXXX XXXX,8.04,8.32,1,0.7,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,7.79,7.71,0.6,0.85,Totes
1,XXXX XXXX,6.45,7.16,0.8,0.5,Totes
1,XXXX XXXX,3.03,6.06,0,0,Alguna
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,7.85,9.7,0,0.8,Alguna
1,XXXX XXXX,2.38,0,0.4,0.5,Alguna
1,XXXX XXXX,4.26,7.03,0.6,0,Alguna
1,XXXX XXXX,3.06,6.11,0,0,Alguna
1,XXXX XXXX,8.48,7.71,1,0.9,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,6.15,8.93,0,0.45,Alguna
1,XXXX XXXX,7.72,6.57,1,0.85,Totes
1,XXXX XXXX,8.56,8.5,0.6,0.95,Totes
1,XXXX XXXX,4.39,8.78,0,0,Alguna
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,3.67,7.33,0,0,Alguna
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,7.45,6.27,0.6,0.95,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,9.14,9.03,1,0.9,Totes
1,XXXX XXXX,2.54,5.09,0,0,Alguna
1,XXXX XXXX,9.43,8.86,1,1,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,8.95,8.78,0.8,0.95,Totes
1,XXXX XXXX,4.43,8.86,0,0,Alguna
1,XXXX XXXX,5.72,8.93,1,0,Alguna
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,5.99,7.1,0.6,0.45,Totes
1,XXXX XXXX,5.26,4.9,0,0.75,Alguna
1,XXXX XXXX,10,10,1,1,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,5.01,6.27,0,0.5,Alguna
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,5.47,7.18,0.3,0.4,Totes
1,XXXX XXXX,2.25,0,0.6,0.4,Alguna
1,XXXX XXXX,5.79,5.96,0,0.75,Alguna
1,XXXX XXXX,8.06,7.87,0.75,0.85,Totes
1,XXXX XXXX,8.25,6.5,1,1,Totes
1,XXXX XXXX,3.13,6.27,0,0,Alguna
1,XXXX XXXX,8.22,8.32,1,0.75,Totes
1,XXXX XXXX,7.72,8.32,0.6,0.75,Totes
1,XXXX XXXX,7.81,7.87,1,0.7,Totes
1,XXXX XXXX,5.95,7.03,0,0.65,Alguna
1,XXXX XXXX,0.75,0,0.6,0,Alguna
1,XXXX XXXX,8.82,7.64,1,1,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,7.83,7.79,0.75,0.8,Totes
1,XXXX XXXX,4.95,8.4,0.6,0,Alguna
1,XXXX XXXX,0,0,NA,0,Cap
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,3.59,7.18,0,0,Alguna
1,XXXX XXXX,4.96,9.92,0,0,Alguna
1,XXXX XXXX,8.17,7.33,0.6,1,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,8.42,7.33,0.8,1,Totes
1,XXXX XXXX,4.07,6.65,0.6,0,Alguna
1,XXXX XXXX,6.08,6.9,0.6,0.5,Totes
1,XXXX XXXX,3.91,4.82,0,0.4,Alguna
1,XXXX XXXX,5.57,6.65,0.6,0.4,Totes
1,XXXX XXXX,7.93,7.87,0.8,0.8,Totes
1,XXXX XXXX,8.41,8.32,1,0.8,Totes
1,XXXX XXXX,5.23,5.2,0.6,0.5,Totes
1,XXXX XXXX,7.63,6.27,0.6,1,Totes
1,XXXX XXXX,9.01,8.4,1,0.95,Totes
1,XXXX XXXX,3.63,7.26,0,0,Alguna
1,XXXX XXXX,9.56,9.12,1,1,Totes
1,XXXX XXXX,7.88,10,0.8,0.5,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,8.86,7.71,1,1,Totes
1,XXXX XXXX,9.23,9.47,0.6,1,Totes
1,XXXX XXXX,9.37,9.11,1,0.95,Totes
1,XXXX XXXX,0,0,0,0,Cap
1,XXXX XXXX,5.36,6.23,0.3,0.5,Totes
2,XXXX XXXX,8.3,9.47,0.6,0.75,Totes
2,XXXX XXXX,5.39,4.9,1,0.45,Totes
2,XXXX XXXX,3.96,5.43,1,0,Alguna
2,XXXX XXXX,4.09,8.17,0,0,Alguna
2,XXXX XXXX,8.37,7.87,1,0.85,Totes
2,XXXX XXXX,4.05,8.1,0,0,Alguna
2,XXXX XXXX,8.13,10,1,0.5,Totes
2,XXXX XXXX,6.65,5.05,0.6,0.9,Totes
2,XXXX XXXX,0,0,0,0,Cap
2,XXXX XXXX,5.73,4.7,0.6,0.7,Totes
2,XXXX XXXX,2.38,4.77,0,0,Alguna
2,XXXX XXXX,2.68,5.35,0,0,Alguna
2,XXXX XXXX,5.69,5.89,0.4,0.6,Totes
2,XXXX XXXX,4.05,8.1,0,0,Alguna
2,XXXX XXXX,6.95,5.28,0.75,0.9,Totes
2,XXXX XXXX,3.36,6.72,0,0,Alguna
2,XXXX XXXX,8.37,8.25,1,0.8,Totes
2,XXXX XXXX,2.71,5.43,0,0,Alguna
2,XXXX XXXX,6.01,5.28,0.6,0.7,Totes
2,XXXX XXXX,7.73,7.71,1,0.7,Totes
2,XXXX XXXX,2.1,4.21,0,0,Alguna
2,XXXX XXXX,8.04,7.71,0.65,0.9,Totes
2,XXXX XXXX,7.38,9.39,0.65,0.5,Totes
2,XXXX XXXX,2.37,4.74,0,0,Alguna
2,XXXX XXXX,7.28,8.93,0,0.75,Alguna
2,XXXX XXXX,0,0,0,0,Cap
2,XXXX XXXX,4.05,8.1,0,0,Alguna
2,XXXX XXXX,6.41,6.06,0.6,0.7,Totes
2,XXXX XXXX,5.8,5.73,0.85,0.5,Totes
2,XXXX XXXX,4.74,5.73,0,0.5,Alguna
2,XXXX XXXX,2.37,4.74,0,0,Alguna
2,XXXX XXXX,9.02,8.78,0.85,0.95,Totes
2,XXXX XXXX,8.26,8.4,1,0.75,Totes
2,XXXX XXXX,2.9,5.81,0,0,Alguna
2,XXXX XXXX,3.78,7.56,0,0,Alguna
2,XXXX XXXX,5.65,6.8,0.6,0.4,Totes
2,XXXX XXXX,4.73,7.33,0.85,0,Alguna
2,XXXX XXXX,3.59,7.18,0,0,Alguna
2,XXXX XXXX,3.59,7.18,0,0,Alguna
2,XXXX XXXX,7.89,8.4,1,0.65,Totes
2,XXXX XXXX,7.27,6.04,1,0.8,Totes
2,XXXX XXXX,8.9,8.17,1,0.95,Totes
2,XXXX XXXX,3.67,7.33,0,0,Alguna
2,XXXX XXXX,5.91,9.31,1,0,Alguna
2,XXXX XXXX,6.45,6.65,1,0.5,Totes
2,XXXX XXXX,9.47,8.93,1,1,Totes
2,XXXX XXXX,7.51,9.77,0,0.7,Alguna
2,XXXX XXXX,9.56,9.11,1,1,Totes
2,XXXX XXXX,6.41,7.56,0.6,0.5,Totes
2,XXXX XXXX,6.14,7.03,0,0.7,Alguna
2,XXXX XXXX,3.48,6.95,0,0,Alguna
2,XXXX XXXX,5.6,8.7,1,0,Alguna
2,XXXX XXXX,7.35,6.57,0.85,0.8,Totes
2,XXXX XXXX,0,0,0,0,Cap
2,XXXX XXXX,5.68,8.86,1,0,Alguna
2,XXXX XXXX,9.73,9.47,1,1,Totes
2,XXXX XXXX,4.62,9.24,0,0,Alguna
2,XXXX XXXX,3.82,7.64,0,0,Alguna
2,XXXX XXXX,4.57,6.65,1,0,Alguna
2,XXXX XXXX,7.52,8.17,0.8,0.65,Totes
2,XXXX XXXX,0,0,0,0,Cap
2,XXXX XXXX,4.22,7.18,0.5,0,Alguna
2,XXXX XXXX,8.07,9.39,0.6,0.7,Totes
2,XXXX XXXX,9.51,9.39,1,0.95,Totes
2,XXXX XXXX,8.33,8.4,0.6,0.9,Totes
2,XXXX XXXX,7.01,6.27,1,0.7,Totes
2,XXXX XXXX,7.38,5.5,1,0.9,Totes
2,XXXX XXXX,9.47,8.93,1,1,Totes
2,XXXX XXXX,7.77,7.79,1,0.7,Totes
2,XXXX XXXX,6.07,7.13,0.5,0.5,Totes
2,XXXX XXXX,6.33,8.4,0.5,0.4,Totes
2,XXXX XXXX,6.67,8.1,0.6,0.5,Totes
2,XXXX XXXX,7.22,7.07,0.85,0.7,Totes
2,XXXX XXXX,5.15,4.93,0.65,0.5,Totes
2,XXXX XXXX,8.56,7.49,1,0.95,Totes
2,XXXX XXXX,4.12,8.25,0,0,Alguna
2,XXXX XXXX,9.62,9.24,1,1,Totes
2,XXXX XXXX,8.56,8.25,1,0.85,Totes
2,XXXX XXXX,8.79,8.32,1,0.9,Totes
2,XXXX XXXX,5.92,5.58,1,0.5,Totes
2,XXXX XXXX,4.01,8.02,0,0,Alguna
2,XXXX XXXX,8.71,7.79,1,0.95,Totes
2,XXXX XXXX,9.66,9.31,1,1,Totes
2,XXXX XXXX,2.68,5.35,0,0,Alguna
2,XXXX XXXX,5.48,5.96,0.5,0.5,Totes
2,XXXX XXXX,3.95,6.65,0.5,0,Alguna
2,XXXX XXXX,6.43,6.11,0,0.9,Alguna
